MITMAS00,"nonclustered, unique","MMCONO, MMITNO"
MITMAS10,nonclustered,"MMCONO, MMITDS, MMITNO"
MITMAS11,nonclustered,"MMLMTS, MMCONO, MMITNO"
MITMAS15,nonclustered,"MMCONO, MMITNE, MMITNO"
MITMAS20,nonclustered,"MMCONO, MMSTAT, MMITNO"
MITMAS21,nonclustered,"MMCONO, MMQMGP, MMITNO"
MITMAS30,nonclustered,"MMCONO, MMDWNO, MMITNO"
MITMAS40,nonclustered,"MMCONO, MMITGR, MMITNO"
MITMAS50,nonclustered,"MMCONO, MMITCL, MMITNO"
MITMAS70,nonclustered,"MMCONO, MMITTY, MMITNO"
MITMAS80,nonclustered,"MMCONO, MMITTY, MMSTAT, MMITNO"
MITMAS90,nonclustered,"MMCONO, MMLMDT, MMITNO"
MITMASX2,nonclustered,"MMCONO, MMSUNO, MMITNO"
MITMASX3,nonclustered,"MMCONO, MMDWNO, MMITDS, MMITNO"
MITMASX4,nonclustered,"MMCONO, MMSTAT, MMDWNO, MMITNO"
MITMASX5,nonclustered,"MMCONO, MMRGDT, MMITNO"
